id,first_name,last_name,email,gender,loyalty_status,spend_2021,avg_rate
49,Moira,Blenkinship,MoiraBlenkinship@datascience.AOT,Genderqueer,None,3653.23,$36.37
50,Cord,Simonsen,CordSimonsen@datascience.AOT,Male,Silver,1458.53,$154.07
51,Virge,Kadar,VirgeKadar@datascience.AOT,Male,Silver,1054.76,$176.44
52,Mimi,Shale,MimiShale@datascience.AOT,Female,Gold,3483.73,$200.63
53,Reider,Eacott,ReiderEacott@datascience.AOT,Male,Platnium,1317.71,$199.63
54,Mikel,Chancelier,MikelChancelier@datascience.AOT,Bigender,Gold,3038.35,$190.52
55,Egan,Hargreves,EganHargreves@datascience.AOT,Polygender,Platnium,1927.71,$85.37
56,Octavius,Corns,OctaviusCorns@datascience.AOT,Male,Silver,2407.99,$49.68
57,Meg,Crew,MegCrew@datascience.AOT,Female,None,3385.72,$34.24
58,Babb,Eglaise,BabbEglaise@datascience.AOT,Genderfluid,Platnium,2075.32,$166.10
59,Eada,Martinuzzi,EadaMartinuzzi@datascience.AOT,Female,Platnium,3846.59,$213.31
60,Noble,Thorneywork,NobleThorneywork@datascience.AOT,Male,Platnium,3268.53,$149.22
61,Kimball,O'Dee,KimballO'Dee@datascience.AOT,Male,Platnium,2676.79,$26.15
62,Lila,Risby,LilaRisby@datascience.AOT,Female,Platnium,1311.25,$17.89
63,Fonzie,Gouck,FonzieGouck@datascience.AOT,Male,None,,
64,Wilburt,Penk,WilburtPenk@datascience.AOT,Male,Silver,3030.15,$28.39
65,Flynn,Flynn,FlynnFlynn@datascience.AOT,Male,Silver,2309.78,$19.24
66,Hakeem,Cattow,HakeemCattow@datascience.AOT,Male,Platnium,2063.57,$22.27
67,Dewitt,Espino,DewittEspino@datascience.AOT,Male,None,3714.65,$196.52
68,Tuck,Batthew,TuckBatthew@datascience.AOT,Agender,Platnium,2614.33,$58.85
69,Vernor,Cannings,VernorCannings@datascience.AOT,Polygender,Gold,2226.79,$182.95
70,Sharity,Masse,SharityMasse@datascience.AOT,Non-binary,None,3177.5,$22.80
71,Marlow,Catherick,MarlowCatherick@datascience.AOT,Male,Platnium,3336.5,$204.20
72,Nathalia,Pipet,NathaliaPipet@datascience.AOT,Female,Platnium,2558.12,$121.36
73,Arleta,Imlach,ArletaImlach@datascience.AOT,Female,None,3214.8,$205.29
74,Ozzie,Kenner,OzzieKenner@datascience.AOT,Male,Silver,1228.07,$249.86
75,Melonie,Atling,MelonieAtling@datascience.AOT,Female,Gold,2152.08,$162.75
76,Danella,Statton,DanellaStatton@datascience.AOT,Female,Silver,751.84,$67.34
77,Roxanne,Berthe,RoxanneBerthe@datascience.AOT,Non-binary,Platnium,2805.49,$166.27
78,Rusty,Scade,RustyScade@datascience.AOT,Male,Platnium,3657.18,$20.31
79,Nikolaos,Terris,NikolaosTerris@datascience.AOT,Male,Platnium,674.1,$111.29
80,Remington,Sorrill,RemingtonSorrill@datascience.AOT,Male,Silver,2957.15,$25.57
81,Graehme,Avo,GraehmeAvo@datascience.AOT,Male,Gold,2655.54,$211.88
82,Aloysius,Peagrim,AloysiusPeagrim@datascience.AOT,Male,Silver,1679.13,$194.65
83,Cecelia,Gadsby,CeceliaGadsby@datascience.AOT,Female,Gold,1177.07,$222.14
84,Seumas,Henden,SeumasHenden@datascience.AOT,Bigender,Silver,2579.98,$191.42
85,Adlai,Nestor,AdlaiNestor@datascience.AOT,Male,None,2202,$217.32
86,Reilly,Tomson,ReillyTomson@datascience.AOT,Male,Gold,2800.33,$13.24
87,Paquito,Adamovitch,PaquitoAdamovitch@datascience.AOT,Male,Silver,,
88,Kerstin,Pringour,KerstinPringour@datascience.AOT,Female,Gold,3439.38,$245.26
89,Gwenneth,Massen,GwennethMassen@datascience.AOT,Female,Silver,2185.99,$170.11
90,Tore,Ferencz,ToreFerencz@datascience.AOT,Male,Gold,3072.85,$124.06
91,Paquito,Hancke,PaquitoHancke@datascience.AOT,Polygender,Gold,2451.07,$9.88
92,Alexio,Giamo,AlexioGiamo@datascience.AOT,Male,Platnium,2567.11,$6.81
93,Joycelin,Kerner,JoycelinKerner@datascience.AOT,Female,Platnium,2193.36,$47.66
94,Billie,Steffens,BillieSteffens@datascience.AOT,Male,Platnium,2454.68,$240.35
95,Dahlia,Gratrix,DahliaGratrix@datascience.AOT,Female,None,1249.11,$56.53
96,Hollie,Westwood,HollieWestwood@datascience.AOT,Female,Platnium,3987.32,$71.97
97,Carroll,Harmes,CarrollHarmes@datascience.AOT,Male,Silver,2621.81,$193.14
98,Zacharie,Houlston,ZacharieHoulston@datascience.AOT,Male,Gold,2602.96,$115.64
99,Gerda,Jevons,GerdaJevons@datascience.AOT,Female,Platnium,3841.46,$32.26
100,Darren,Jellyman,DarrenJellyman@datascience.AOT,Male,None,2717.84,$84.21
